price,Location,Floor,Land Mark,Land,Road,Bathroom,Bedroom,url
15500000,थानकोट,1,,2395.75,13,1,3,https://hamrobazaar.com/for-sale-house/7-aana-land-with-house-only-at-155-cr-in-nepal/6e1a8125d82049d9a57775d620451732
25000000,"थानकोट, Chandragiri, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2,,1369,13,3,2,https://hamrobazaar.com/for-sale-house/semifurnished-house-on-sale-in-nepal/c69df79cd55c42dfb52e4c8190a5bff4
100000000,"थ्रीबम सडक, किरण चोक, बालुवाटार",3,Chundevi Baluwatar Kathmandu,2395.75,20,5,4,https://hamrobazaar.com/for-sale-house/full-furnishd-budnaglow-n-salekathmandu-in-nepal/559ddfd7c1bc458b90abae5ba909b91a
37000000,"बालुवाखानी चोक, गोल्फुटार",3,budhanilkantha-8 sundarbasti bigmart,1369,20,4,6,https://hamrobazaar.com/for-sale-house/house-for-sale-budhanilkantha-in-nepal/134841009f424e579a7899c08ef4568b
250000000,"बालुवापाटी चोक,",3,,1026.75,12,3,6,https://hamrobazaar.com/for-sale-house/house-for-sale-greenline-301-paisa-250lakhs-in-nepal/a9804341ab674c0b82c6af15f150111b
36000000,"बालुवापाटी चोक,",3,,1369,12,4,8,https://hamrobazaar.com/for-sale-house/house-for-sale-greenline-dhapace-in-nepal/44a59305800743388608ad41fa5a2343
20000000,बल्खु,3,,1026.75,12,3,3,https://hamrobazaar.com/for-sale-house/house-inside-ringroad-in-brihat-colony-in-nepal/b24594cc5e70428ba3938adc27cb914f
12000000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2,,1026.75,13,3,4,https://hamrobazaar.com/for-sale-house/house-on-sale-in-budhanilkantha-taulung-in-nepal/5884016f34db410b994d7c35a209e2ad
17500000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2,,1026.75,13,3,3,https://hamrobazaar.com/for-sale-house/residental-house-on-sale-at-pasikot-budhanilkantha-in-nepal/b24967c8febe4341ab06d2bb21457c25
25000000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",3,Vellypublic school Bhangal Kathmandu,1197.87,20,3,6,https://hamrobazaar.com/for-sale-house/new-semi-bunglow-house-on-sale-kathmandu-in-nepal/8d19e2fa4ddb45d18cba6e6a58e76b86
39000000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2,,1369,12,3,5,https://hamrobazaar.com/for-sale-house/house-for-sale-budanilkantha-in-nepal/78780e27cc9b45ae852955dd9949bf78
160000000,"बूढानीलकण्ठ, बूढानिलकण्ठ नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",2,,7529.5,13,7,7,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/8d189ed8c6184c42af22e858b0c29ff2
21000000,"बूढानीलकण्ठ, Budhanilkantha, काठमाडौं, Bagmati Pradesh, नेपाल",2,compound,1026.75,13,3,4,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kapantar-in-nepal/531b6a6e0b7441ce8329e4333bfa8833
10000000,"बूढानीलकण्ठ, Budhanilkantha, काठमाडौं, Bagmati Pradesh, नेपाल",3,Shanti Niketan Wasik buddhanilkanth,5818.25,13,3,14,https://hamrobazaar.com/for-sale-house/luxury-house-in-sale-at-budhanilkantha-in-nepal/e5d9c17d55b44f32b9c76cdf7f9d72da
29000000,"बोर्चा, Siddhipur, खड्काटोल, थाइकोट, ललितपुर महानगरपालिका, ललितपुर, Bagmati Pradesh, नेपाल",3,Don Bosco School,1369,13,4,5,https://hamrobazaar.com/for-sale-house/house-for-sale-at-sanagau-in-nepal/f7a7f7d2e677466e95040de481cd9b4a
52500000,"महानकल रोड, मकलबारी, गोकर्णेश्वर",3,,1711.25,13,5,13,https://hamrobazaar.com/for-sale-house/beautiful-house-sale-in-makelbari-baudhha-in-nepal/60856d4e23ac4c038afb2ffe6b7fce8c
25000000,"महानकल रोड, मकलबारी, गोकर्णेश्वर",2,,1711.25,12,2,4,https://hamrobazaar.com/for-sale-house/house-on-salee-in-nepal/396dd8625bc947e4942d1f320687aab5
21000000,"महालक्ष्मीस्थान रोड, टिखिडोल, कुसुन्ती",250,1,1026.75,13,3,4,https://hamrobazaar.com/for-sale-house/beautiful-house-on-sell-lalitpur-imadol-koji-home-in-nepal/229668e6e68c4c25814f5380c0bb693f
22000000,"महालक्ष्मीस्थान रोड, टिखिडोल, कुसुन्ती",350,1,1112.3,13,6,5,https://hamrobazaar.com/for-sale-house/house-on-sell-lalitpur-imadol-tampo-park-sangai-in-nepal/21e4e2bf23384e82bd3708e1f2af8121
27000000,"रामकोट, नागार्जुन, नागार्जुन नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",3,0,1026.75,20,3,3,https://hamrobazaar.com/for-sale-house/3bhk-house-on-sale-at-sitapaila-civil-homes-in-nepal/3e7c81ced7ff4cf3a51bfb2860283a18
17000000,"शान्ति नगर, तिन्चुली",3,,1026.75,13,4,8,https://hamrobazaar.com/for-sale-house/for-sell-house-in-nepal/9c7c29e7f75746d18ba51a205e0e78ac
22000000,"अरुन थापा मुर्ति चोक, Sanepa",3,,1026.75,13,3,3,https://hamrobazaar.com/for-sale-house/ghar-bikri-ma-at-jhamshikhel-in-nepal/0867d0cf20de4705b950c9dd03eb0f10
80000000,"अरुन थापा मुर्ति चोक, Sanepa",3,sanepa jamshikhel hight,3080.25,13,3,5,https://hamrobazaar.com/for-sale-house/beautiful-bangalow-on-sale-sanepa-jamshikhel-in-nepal/86c924772b9149a5ad6680a23c4c27aa
9300000,"अर्पाच, Siddhipur, खड्काटोल, खड्कागाउ, ललितपुर महानगरपालिका, ललितपुर, Bagmati Pradesh, नेपाल",1,,1026.75,12,1,1,https://hamrobazaar.com/for-sale-house/house-on-low-budget-in-nepal/a5ab58b58958413fac54f460c24ebbd7
31500000,"आनन्द चोक,",3,kalanki naya naikap near kalika temple and diamond school,1369,13,5,6,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kalanki-naikap-in-nepal/0dfca77d512641d6905bcd39ee9258f2
19000000,"आनन्द चोक,",3,,1369,20,4,7,https://hamrobazaar.com/for-sale-house/35-anna-ma-baneko-argent-bikri-ma-at-kalanki-in-nepal/3e7d1e6367c94a4da60a7e5132ec2aaa
18000000,"आनन्द चोक,",3,,1369,20,4,6,https://hamrobazaar.com/for-sale-house/35-anna-ma-baneko-ghar-argent-bikri-ma-at-kalanki-in-nepal/a3a9eaf07a1f4d4db8012d5e028fc41e
28500000,"आलोक नगर, Subidhanagar, काठमाडौं, Kathmandu, काठमाडौं, Bagmati Pradesh, नेपाल",3,,1026.75,12,3,5,https://hamrobazaar.com/for-sale-house/house-on-sale-aloknagar-baneshwor-in-kathmandu/0d35755cefd7464a981761b2ab9abc2c
21500000,इमाडोल,3,,1026.75,13,3,5,https://hamrobazaar.com/for-sale-house/house-sell-in-imadol-in-nepal/e348f70a844e476e851153bde71493c2
17000000,इमाडोल,1,,1026.75,12,1,1,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-bojepokhari-in-nepal/5ba2ff6e29b84dd0b9df7b934667e977
16000000,इमाडोल,3,lalitpur,1026.75,13,1,2,https://hamrobazaar.com/for-sale-house/urgently-seal-jagga-ko-vau-maa-ghar-free-3flor-in-nepal/1342fdcefe5b40078bfab6918505a3df
20000000,इमाडोल,1,,1026.75,13,1,1,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-in-nepal/fdcd9f08edbc474ba149e7650574cac2
8200000,इमाडोल,2,,1369,20,2,5,https://hamrobazaar.com/for-sale-house/house-on-sale-at-imadol-in-nepal/a2e183155e1d46f2af5bfbd23e39096f
35000000,इमाडोल,1,,1711.25,13,1,1,https://hamrobazaar.com/for-sale-house/house-for-sale-at-satdobato-belpha-in-nepal/c89681d98cb54ca79f1c4fb47ec15e3f
17000000,"कनिबाहलदेखि सिन्चाहिटी रोडसम्म, Hakha Tol, मङ्गल बजार",,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-at-sundharapatan-in-nepal/e6c3f9cc3f814482a41cdaecfce6acc6
13490000,"कागेश्वरी मनोहरा नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",1,"Paanitanky, orchid pupil school najik",1369,5,2,3,https://hamrobazaar.com/for-sale-house/urgent-home-on-sale-in-nepal/7e3cab6e4dc34c54a12af46186ea9c31
28000000,"कागेश्वरी मनोहरा, Kageshwori Manohara, Kathmandu",3-Jan,jorpati narantar shibchok,1411.78,12,5,11,https://hamrobazaar.com/for-sale-house/in-kathmandu/15285eecf3664149a9b58137bd68dc20
45000000,कलंकी,3,,2053.5,12,5,7,https://hamrobazaar.com/for-sale-house/house-on-sale-near-sita-petrol-pump-kalanki-in-nepal/5e8b765d3078408bbe8e040094a2f7fa
9000000,"कोटेश्वर चोक, जडिबुटी, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",3,Rukmani marbles,1711.25,20,3,2,https://hamrobazaar.com/for-sale-house/house-in-main-highway-in-nepal/da9d31265b1a48719bf6e926438b45a4
26000000,"एकता नगर चोक,",2,,1026.75,13,6,6,https://hamrobazaar.com/for-sale-house/tikathali-lalitpur-ma-ghar-bikri-ma-in-nepal/3a1eb0e3d77c4fe6955a44072928b041
20000000,"एकता नगर चोक, खड्काटोल, खड्कागाउ, ललितपुर महानगरपालिका, ललितपुर, Bagmati Pradesh, नेपाल",3,,1026.75,13,3,6,https://hamrobazaar.com/for-sale-house/tikathali-house-in-nepal/a665570d084b48288e982f22f131d769
39000000,"एकान्तकुना-टिकभैरब रोड, नखु बाजर, नया नगर",2,mediciti hospital,1711.25,13,4,4,https://hamrobazaar.com/for-sale-house/5-aana-house-near-mediciti-hospital-in-nepal/52241c538e9646c5adea7bdf12891922
48000000,"लखतीर्थ मार्ग, Pyaphal,",3,,2053.5,20,0,0,https://hamrobazaar.com/for-sale-house/for-those-who-are-looking-around-dallu-area-in-nepal/6360773e2a24483b89fbe81312c48215
14000000,"लोकतान्त्रिक चोक,",1,,1026.75,13,1,4,https://hamrobazaar.com/for-sale-house/manamaijusuva-kamala-chowk-ma-sasto-ghar-bikrima-in-nepal/13e419941c3c4949bd59913fe7218d07
34500000,खड्कागाउँ,3,,1711.25,13,4,5,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/3faf1b00e3cb4f66ba34e774ce8a0950
18000000,"भाल्टार, चन्द्रागिरी नगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",3,,684.5,13,3,4,https://hamrobazaar.com/for-sale-house/under-construction-house-for-sell-at-18000000-in-nepal/91ff7aa1e9e84b8585bd40077a82e199
15500000,गोकर्णेश्वर,,,,,,,https://hamrobazaar.com/for-sale-house/jorpati-house-sales-in-nepal/e49119103b3c49af9cbd29c1382eb9da
215000000,गोल्फुटार,3,,9240.75,13,8,6,https://hamrobazaar.com/for-sale-house/aanako-bangla-house-for-sale-mandikhatar-in-nepal/1761058dfdf44ad49c1f1840bdfe13c8
75000000,"भीमसेन गोला, सिनामंगल",2,,2738,13,4,7,https://hamrobazaar.com/for-sale-house/house-for-sale-sinamangal-in-nepal/1a9711ef5eac44a9a4a4c3970d9e99ec
31000000,"ग्वार्को-लामाटार,",2,,1369,12,2,4,https://hamrobazaar.com/for-sale-house/house-sale-in-gwarko-in-nepal/af725fb828184730815f16d428652dfb
49800000,"पन्ना हिटी, चाबहिल",0,,2053.5,12,5,11,https://hamrobazaar.com/for-sale-house/house-sale-at-siphal-in-nepal/1e5371e2bab64ec0bd66f1d196e72adb
55000000,"पुष्पा नगर, घट्टेकुलो",4,,2053.5,13,5,5,https://hamrobazaar.com/for-sale-house/ghattekulo-ma-4-house-in-nepal/0ac08b4c357e4296a4f55d68f42d2a8e
21000000,"टोखा सादक, बालुवापाटी चोक,",3,,1026.75,12,3,4,https://hamrobazaar.com/for-sale-house/house-for-sale-greenline-dhapace-210lakhs-in-nepal/31f9fe7853474f638362a60809b75f06
38000000,"Aakashedhara, Mandikhatar",2,,2395.75,13,2,4,https://hamrobazaar.com/for-sale-house/house-for-sale-kapan-in-nepal/8c2db528127947a7b500256603bebc4b
21000000,"Aakashedhara, Mandikhatar, Budhanilkantha, Kathmandu",3,,1026.75,12,4,4,https://hamrobazaar.com/for-sale-house/house-sell-at-prime-location-in-kathmandu/d9216b2e943548b287d780ff52f31e2a
79000000,"Ace Gym, Thecho Chapagaun Road, Wakhat, Sunakothi, Satitar, Sunakothi, Lalitpur Metropolitan City, Lalitpur, Bagmati Pradesh, 44760, Nepal",3,,3422.5,13,5,5,https://hamrobazaar.com/for-sale-house/buanglow-house-on-sale-at-near-cg-villa-in-lalitpur/813f04c5644c4269a3063a2f36832e27
20000000,"Achham (Other Area), Achham",4.5,,1026.75,12,5,10,https://hamrobazaar.com/for-sale-house/house-for-sale-in-nepal/53fb0a01a71246f9a87015dbe349ba16
